Pasal,Isi,Bab,Bagian
Pasal 1233,"Perikatan, lahir karena suatu persetujuan atau karena undang-undang",Perikatan Pada Umumnya,Ketentuan-Ketentuan Umum
Pasal 1234,"Perikatan ditujukan untuk memberikan sesuatu, untuk berbuat sesuatu, atau untuk tidak berbuat sesuatu.",Perikatan Pada Umumnya,Ketentuan-Ketentuan Umum
Pasal 1235,"Dalam perikatan untuk memberikan sesuatu, termasuk kewajiban untuk menyerahkan barang yang bersangkutan dan untuk merawatnya sebagai seorang kepala rumah tangga yang baik, sampai saat penyerahan. Luas tidaknya kewajiban yang terakhir ini tergantung pada persetujuan tertentu  akibatnya akan ditunjuk dalam bab-bab yang bersangkutan.",Perikatan Pada Umumnya,Perikatan Untuk Memberikan Sesuatu
Pasal 1236,"Debitur wajib memberi ganti biaya, kerugian dan bunga kepada kreditur bila ia menjadikan dirinya tidak mampu untuk menyerahkan barang itu atau tidak merawatnya dengan sebaik- baiknya untuk menyelamatkannya.",Perikatan Pada Umumnya,Perikatan Untuk Memberikan Sesuatu
Pasal 1237,"Pada suatu perikatan untuk memberikan barang tertentu, barang itu menjadi tanggungan kreditur sejak perikatan lahir. Jika debitur lalai untuk menyerahkan barang yang bersangkutan, maka barang itu semenjak perikatan dilakukan, menjadi tanggungannya.",Perikatan Pada Umumnya,Perikatan Untuk Memberikan Sesuatu
Pasal 1238,"Debitur dinyatakan Ialai dengan surat perintah, atau dengan akta sejenis itu, atau berdasarkan kekuatan dari perikatan sendiri, yaitu bila perikatan ini mengakibatkan debitur harus dianggap Ialai dengan lewatnya waktu yang ditentukan.",Perikatan Pada Umumnya,Perikatan Untuk Memberikan Sesuatu
Pasal 1239,"Tiap perikatan untuk berbuat sesuatu, atau untuk tidak berbuat sesuatu, wajib diselesaikan dengan memberikan penggantian biaya, kerugian dan bunga, bila debitur tidak memenuhi kewajibannya.",Perikatan Pada Umumnya,Perikatan Untuk Berbuat Sesuatu Atau Untuk Tidak Berbuat Sesuatu
Pasal 1240,"Walaupun demikian, kreditur berhak menuntut penghapusan segala sesuatu yang dilakukan secara bertentangan dengan perikatan dan ia dapat minta kuasa dari Hakim untuk menyuruh menghapuskan segala sesuatu yang telah dibuat itu atas tanggungan debitur  hal ini tidak mengurangi hak untuk menuntut penggantian biaya, kerugian dan bunga, jika ada alasan untuk itu.",Perikatan Pada Umumnya,Perikatan Untuk Berbuat Sesuatu Atau Untuk Tidak Berbuat Sesuatu
Pasal 1241,"Bila perikatan itu tidak dilaksanakan, kreditur juga boleh dikuasakan untuk melaksanakan sendiri perikatan itu atas biaya debitur.",Perikatan Pada Umumnya,Perikatan Untuk Berbuat Sesuatu Atau Untuk Tidak Berbuat Sesuatu
Pasal 1242,"Jika perikatan itu bertujuan untuk tidak berbuat sesuatu, maka pihak mana pun yang berbuat bertentangan dengan perikatan itu, karena pelanggaran itu saja, diwajibkan untuk mengganti biaya, kerugian dan bunga.",Perikatan Pada Umumnya,Perikatan Untuk Berbuat Sesuatu Atau Untuk Tidak Berbuat Sesuatu
Pasal 1243,"Penggantian biaya, kerugian dan bunga karena tak dipenuhinya suatu perikatan mulai diwajibkan, bila debitur, walaupun telah dinyatakan Ialai, tetap Ialai untuk memenuhi perikatan itu, atau jika sesuatu yang harus diberikan atau dilakukannya hanya dapat diberikan atau dilakukannya dalam waktu yang melampaui waktu yang telah ditentukan.",Perikatan Pada Umumnya,"Penggantian Biaya, Kerugian Dan Bunga Karena Tidak Dipenuhinya Suatu Perikatan"
Pasal 1244,"Debitur harus dihukum untuk mengganti biaya, kerugian dan bunga. bila ia tak dapat membuktikan bahwa tidak dilaksanakannya perikatan itu atau tidak tepatnya waktu dalam melaksanakan perikatan itu disebabkan oleh sesuatu hal yang tak terduga, yang tak dapat dipertanggungkan kepadanya. walaupun tidak ada itikad buruk kepadanya.",Perikatan Pada Umumnya,"Penggantian Biaya, Kerugian Dan Bunga Karena Tidak Dipenuhinya Suatu Perikatan"
Pasal 1245,"Tidak ada penggantian biaya. kerugian dan bunga. bila karena keadaan memaksa atau karena hal yang terjadi secara kebetulan, debitur terhalang untuk memberikan atau berbuat sesuatu yang diwajibkan, atau melakukan suatu perbuatan yang terlarang baginya.",Perikatan Pada Umumnya,"Penggantian Biaya, Kerugian Dan Bunga Karena Tidak Dipenuhinya Suatu Perikatan"
