Pasal,Isi,Bab,Bagian
Pasal 499,"Menurut Undang-undang, barang adalah tiap benda dan tiap hak yang dapat menjadi obyek dari hak milik.",Barang Dan Pembagiannya,Barang Pada Umumnya
Pasal 500,"Segala sesuatu yang termasuk dalam suatu barang karena hukum perlekatan, begitu pula segala hasilnya, baik hasil alam, maupun hasil usaha kerajinan, selama melekat pada dahan atau akarnya, atau terpaut pada tanah, adalah bagian dan barang itu.",Barang Dan Pembagiannya,Barang Pada Umumnya
Pasal 501,"Buah-buah perdata harus dipandang sebagai bagian dari suatu barang selama buah-buah perdata itu belum dapat ditagih, tanpa mengurangi ketentuan-ketentuan khusus dalam perundang-undangan dan perjanjian-perjanjian.",Barang Dan Pembagiannya,Barang Pada Umumnya
Pasal 502,Hasil alami adalah: segala sesuatu yang dihasilkan oleh tanah sendiri; segala sesuatu yang dihasilkan atau dilahirkan oleh binatang-binatang.Hasil kerajinan yang diambil dari tanah adalah segala sesuatu yang diperoleh dari pengolahan tanah.,Barang Dan Pembagiannya,Barang Pada Umumnya
Pasal 503,"Ada barang yang bertubuh, dan ada barang yang tak bertubuh.",Barang Dan Pembagiannya,Pembagian Barang
Pasal 504,"Ada barang yang bergerak dan ada barang yang tak bergerak, menurut ketentuan-ketentuan yang diatur dalam kedua bagian berikut ini.",Barang Dan Pembagiannya,Pembagian Barang
Pasal 505,"Ada barang bergerak yang dapat dihabiskan, dan ada yang tidak dapat dihabiskan",Barang Dan Pembagiannya,Pembagian Barang
Pasal 506,"Barang tak bergerak adalah: tanah pekarangan dan apa yang didirikan di atasnya;  penggilingan, kecuali yang dibicarakan dalam Pasal 510; pohon dan tanaman ladang yang dengan akarnya menancap dalam tanah, buah pohon yang belum dipetik, demikian pula barang-barang tambang seperti batu bara, sampah bara dan sebagainya, selama barang-barang itu belum dipisahkan dan digali dari tanah; kayu belukar dari hutan tebangan dan kayu dari pohon yang tinggi, selama belum ditebang; pipa dan salurÃ¡n yang digunakan untuk mengalirkan air dari rumah atau pekarangan",Barang Dan Pembagiannya,Barang Tak Bergerak
Pasal 507,"Yang termasuk barang tak bergerak karena tujuan adalah: pada pabrik; barang hasil pabrik, penggilangan, penempaan besi dan barang tak bergerak semacam itu, apitan besi, ketel kukusan, tempat api, jambangan, tong dan perkakasperkakas sebagainya yang termasuk bagian pabrik, sekalipun barang itu tidak terpaku; pada perumahan: cermin, lukisan dan perhiasan lainnya bila dilekatkan pada papan atau pasangan batu yang merupakan bagian dinding, pagar atau plesteran suatu ruangan, sekalipun barang itu tidak terpaku;  dalam pertanahan: lungkang atau tumbuhan pupuk yang dipergunakan untuk merabuk tanah; kawanan burung merpati; sarang burung yang biasa dimakan, selama belum dikumpulkan; ikan yang ada di dalam kolam; runtuhan bahan bangunan yang dirombak, bila dipergunakan untuk pembangunan kembali",Barang Dan Pembagiannya,Barang Tak Bergerak
Pasal 508,"Yang juga merupakan barang tak bergerak adalah hak-hak sebagai berikut: hak pakai hasil dan hak pakai barang tak bergerak; hak pengabdian tanah; hak numpang karang; hak guna usaha; bunga tanah, baik dalam bentuk uang maupun dalam bentuk barang; hak sepersepuluhan; bazar atau pasar yang diakui oleh pemerintah dan hak istimewa yang berhubungan dengan itu; gugatan guna menuntut pengembalian atau penyerahan barang tak bergerak. ",Barang Dan Pembagiannya,Barang Tak Bergerak
Pasal 509,Barang bergerak karena sifatnya adalah barang yang dapat berpindah sendiri atau dipindahkan.,Barang Dan Pembagiannya,Barang Bergerak
Pasal 510,"Kapal, perahu, sampan tambang, kincir dan tempat penimbunan kayu yang dipasang di perahu atau yang terlepas dan barang semacam itu adalah barang bergerak.",Barang Dan Pembagiannya,Barang Bergerak
Pasal 511,"Yang dianggap sebagai barang bergerak karena ditentukan undang-undang adalah: hak pakai hasil dan hak pakai barang-barang bergerak; hak atas bunga yang dijanjikan, baik bunga yang terus-menerus, maupun bunga cagak hidup; perikatan dan tuntutan mengenai jumlah uang yang dapat ditagih atau mengenai barang bergerak; bukti saham atau saham dalam persekutuan perdagangan uang, persekutuan perdagangan atau persekutuan perusahaan, sekalipun barang-barang bergerak yang bersangkutan dan perusahaan itu merupakan milik persekutuan. Bukti saham atau saham ini dipandang sebagai barang bergerak, tetapi hanya terhadap masing-masing peserta saja, selama persekutuan berjalan; ",Barang Dan Pembagiannya,Barang Bergerak
Pasal 512,"Bila dalam undang-undang atau dalam suatu perbuatan perdata digunakan istilah 'barang bergerak', 'perkakas rumah', 'mebel', atau 'perabotan rumah tangga', 'perhiasan rumah' atau 'rumah dengan segala sesuatu yang ada di dalamnya', semuanya tanpa kata-kata tambahan, perluasan atau pembatasan, maka istilah-istilah itu harus dianggap meliputi barang-barang yang ditunjuk dalam pasal-pasal berikut.",Barang Dan Pembagiannya,Barang Bergerak
Pasal 513,"Istilah 'barang bergerak', tanpa ada pengecualian, meliputi segala sesuatu yang menurut ketentuan-ketentuan di atas, dianggap bersifat bergerak.",Barang Dan Pembagiannya,Barang Bergerak
Pasal 514,"Istilah 'perkakas rumah' meliputi segala sesuatu yang menurut ketentuan-ketentuan di atas dianggap bersifat bergerak, kecuali uang tunai, sero, piutang dan hak-hak lain tersebut dalam Pasal 511, barang perdagangan dan bahan pokok, alat-alat yang bersangkutan dengan pabrik, barang hasil pabrik atau hasil pertanian, bahan bangunan atau bahan yang berasal dan pembongkaran bangunan, begitu pula kapal dan sahamnya.",Barang Dan Pembagiannya,Barang Bergerak
Pasal 515,"Istilah 'mebel' atau 'perabotan rumah tangga' meliputi segala sesuatu yang menurut pasal yang lalu termasuk dalam istilah 'perkakas rumah', kecuali kuda dan ternak lain, kereta dan perlengkapannya, batu permata, buku dan tulisan, gambar, pigura, lukisan, patung, pening peringatan, perkakas ilmu alam dan ilmu pengetahuan, barang berharga dan barang peli lainnya, pakaian pribadi, senjata, gandum, anggur, dan barang keperluan hidup lainnya.",Barang Dan Pembagiannya,Barang Bergerak
Pasal 516,"lstilah 'rumah dan segala sesuatu yang ada di dalamnya' meliputi semua yang menurut Pasal 513 bersifat bergerak dan ditemukan di dalam rumah itu, kecuali uang tunai, piutang dan hak- hak lain yang surat-suratnya diketemukan dalam rumah itu.",Barang Dan Pembagiannya,Barang Bergerak
Pasal 517,"Istilah 'perhiasan rumah' meliputi segala mebel yang dipakai dan dipergunakan untuk perhiasan ruangan, seperti tirai dan permadani, tempat tidur, kursi, cermin, lonceng, meja, porselen, dan barang lain semacam itu.",Barang Dan Pembagiannya,Barang Bergerak
Pasal 518,Istilah 'rumah yang bermebel' atau 'rumah beserta mebelnya' hanya meliputi perhiasan rumah.,Barang Dan Pembagiannya,Barang Bergerak
Pasal 519,"Ada barang yang bukan milik siapa pun;  barang lainnya adalah milik negara, milik persekutuan atau milik perorangan",Barang Dan Pembagiannya,Barang Dalam Hubungan Dengan Pemegang Besit
Pasal 520,"Pekarangan dan barang tak bergerak lainnya yang tidak dipelihara dan tidak ada pemiliknya, seperli halnya barang seseorang yang meninggal dunia tanpa ahli waris atau yang pewarisannya ditinggalkan, adalah milik negara.",Barang Dan Pembagiannya,Barang Dalam Hubungan Dengan Pemegang Besit
Pasal 521,"Demikian pula milik negaralah jalan dan lorong yang menjadi beban pemeliharaannya, pantai bengawan dan sungai yang dapat dilalui dengan perahu tambang beserta tepinya, pulau besar dan pulau kecil, beting yang muncul di atas bengawan dan sungai itu demikian juga pelabuhan dan tempat mendarat, tanpa mengurangi hak seseorang atau persekutuan yang diperoleh berdasarkan suatu tindak perdata atau besit.",Barang Dan Pembagiannya,Barang Dalam Hubungan Dengan Pemegang Besit
Pasal 522,"Yang dimaksud dengan 'tepi' dalam pasal yang lalu ialah sisi bengawan, telaga atau sungai yang pada waktu biasa, bila air sedang pasang setinggi-tingginya, terendam di bawah air, dan bukan bagian yang terkena banjir dengan meluapnya air.",Barang Dan Pembagiannya,Barang Dalam Hubungan Dengan Pemegang Besit
Pasal 523,"Harus dianggap pula sebagai milik negara; semua tanah dan perkayuan yang termasuk dalam bangunan benteng negara, demikian pula semua tanah yang di atasnya didirikan bangunan untuk pertahanan seperti tembok, apilan, parit, jalan tersembunyi, glacien atau tanggul, dan akhirnya tanah lapang yang di atasnya didirikan bangunan pertanahan, garis lini, pos penjagaan, kubu pertahanan/ perlindungan, benteng kecil, tanggul, pintu air, kanal dan pinggirnya; semuanya ini tidak mengurangi hak seseorang atau persekutuan berdasarkan alas hak atau besit.",Barang Dan Pembagiannya,Barang Dalam Hubungan Dengan Pemegang Besit
