No,Range Pasal,Bagian
,4-5,Daftar Catatan Sipil Pada Umumnya
,5a-12,"Nama, Perubahan Nama, dan Perubahan Nama Depan"
,13-16,Pembetulan Akta Catatan Sipil dan Penambahannya
,27-49,Syarat-syarat dan Segala Sesuatu yang Harus dipenuhi untuk Dapat Melakukan Perkawinan
,50-58,Acara yang Harus Mendahului Perkawinan
,59-70,Pencegahan Perkawinan
,71-82,Pelaksanaan Perkawinan
,83-84,Perkawinan-perkawinan yang Dilaksanakan di Luar Negeri
,85-99a,Batalnya Perkawinan
,100-102,Bukti Adanya Suatu Perkawinan
,119-123,Harta Bersama Menurut Undang-Undang
,124-125,Pengurusan Harta Bersama
,126-138,Pembubaran Gabungan Harta Bersama dan Hak untuk Melepaskan Diri Padanya
,139-154,Perjanjian Kawin pada Umumnya
,155-167,Gabungan Keuntungan dan Kerugian dan Gabungan Hasil dari Pendapatan
,168-175,Hibah-Hibah Antara Kedua Calon Suami Isteri
,176-179,"Hibah-Hibah yang Diberikan Kepada Kedua Calon Suami Isteri atau Kepada Anak-anak dan
Perkawinan Mereka"
,199,Pembubaran Perkawinan pada Umumnya
,200-206a,Pembubaran Perkawinan Setelah Pisah Meja dan Ranjang
,207-232a,Perceraian Perkawinan
,250-271a,Anak-anak Sah
,272-279,Pengesahan Anak-anak Luar Kawin
,280-289,Pengakuan Anak-anak Luar Kawin
,298-306,Akibat-akibat Kekuasaan Orang tua Terhadap Pribadi Anak
,307-319,Akibat-akibat Kekuasaan Orang Tua Terhadap Barang-barang Anak
,319-319m,Pembebasan dan Pemecatan dan Kekuasaan Orang tua
,320-329,"Kewajiban-kewajiban Timbal Balik Antara Kedua Orangtua atau Keluarga Sedarah dalam
Garis ke Atas dan Anak-anak Beserta Keturuna"
,330,Kebelumdewasaan
,331-344,Perwalian Pada Umumnya
,345-354a,Perwalian Oleh Ayah dan Ibu
,355-358,Perwalian yang Diperintahkan oleh Bapak atau Ibu
,359-364,Perwalian yang Diperintahkan oleh Pengadilan Negeri
,365-365a,"Perwalian oleh Perkumpulan, Yayasan dan Lembaga Sosial"
,366-375,Perwalian Pengawas
,377-378,Alasan-alasan yang Dapat Melepaskan Diri dari Perwalian
,379-382g,Pengecualian. Pembebasan dan Pemecatan dari Perwalian
,383-384a,Pengawasan Wali atas Pribadi Anak Belum Dewasa
,385-408,Tugas Pengurusan Wali
,409-414,Perhitungan Pertanggungjawaban Perwalian
,415-418a,Balai Harta Peninggalan dan Dewan Perwalian
,463-465,Hal-hal yang Diperlukan
,467-471,Pernyataan Mengenai Orang yang Diperkirakan Telah Meninggal Dunia
,472-487,"Hak-hak dan Kewajiban-kewajiban Orang yang Diduga Sebagai Ahli Waris dan Orang-orang
Lain yang Berkepentingan, Setelah Pernyataan Mengenai Dugaan Tentang Kematian"
,489-492,Hak-hak yang Jatuh ke Tangan Orang Tak Hadir yang Tak Pasti Hidup atau Mati
,493-495,Akibat-akibat Keadaan Tidak Hadir Berkenaan dengan Perkawinan
