No,Range Pasal,Bab
1,1233-1312,PERIKATAN PADA UMUMNYA
2,1313-1351,PERIKATAN YANG LAHIR DARI KONTRAK ATAU PERSETUJUAN
3,1352-1380,PERIKATAN YANG LAHIR KARENA UNDANG-UNDANG
4,1381-1456,HAPUSNYA PERIKATAN
5,1457-1540,JUAL BELI
6,1541-1546,TUKAR MENUKAR
7,1548-1600,SEWA MENYEWA
7A,1601-1617,PERJANJIAN KERJA
8,1618-1652,PERSEROAN PERDATA (PERSEKUTUAN PERDATA)
9,1653-1665,BADAN HUKUM
10,1666-1693,PENGHIBAHAN
11,1694-1739,PENITIPAN BARANG
12,1740-1753,PINJAM PAKAI
13,1754-1769,PINJAM PAKAI HABIS
14,1770-1773,BUNGA TETAP ATAU BUNGA ABADI
15,1774-1791,PERSETUJUAN UNTUNG-UNTUNGAN
16,1792-1819,PEMBERIAN KUASA
17,1820-1864,PENANGGUNG UTANG
